- Read data: 1001
Preys: 10	Predators: 10	H: 423.358
Preys: 7.91	Predators: 12.86	H: 424.857
Preys: 5.75911	Predators: 15.651	H: 427.082
Preys: 3.83947	Predators: 17.9368	H: 430.363
Preys: 2.36661	Predators: 19.4203	H: 434.81
Preys: 1.38152	Predators: 20.0825	H: 440.186
Preys: 0.786341	Predators: 20.1144	H: 446.026
Preys: 0.447021	Predators: 19.7513	H: 451.892
Preys: 0.257695	Predators: 19.1736	H: 457.498
Preys: 0.151829	Predators: 18.493	H: 462.706
Preys: 0.0917278	Predators: 17.772	H: 467.47
Preys: 0.0568727	Predators: 17.0438	H: 471.793
Preys: 0.0361731	Predators: 16.3259	H: 475.698
Preys: 0.0235787	Predators: 15.627	H: 479.22
Preys: 0.0157318	Predators: 14.9516	H: 482.393
Preys: 0.0107301	Predators: 14.3015	H: 485.25
Preys: 0.00747211	Predators: 13.6773	H: 487.823
Preys: 0.00530594	Predators: 13.0789	H: 490.142
Preys: 0.0038376	Predators: 12.5057	H: 492.232
Preys: 0.00282399	Predators: 11.957	H: 494.116
Preys: 0.00211219	Predators: 11.432	H: 495.815
Preys: 0.0016042	Predators: 10.9298	H: 497.348
Preys: 0.00123611	Predators: 10.4495	H: 498.732
Preys: 0.000965538	Predators: 9.99013	H: 499.981
Preys: 0.00076395	Predators: 9.55088	H: 501.11
Preys: 0.000611833	Predators: 9.13089	H: 502.13
Preys: 0.000495658	Predators: 8.72931	H: 503.051
Preys: 0.000405922	Predators: 8.34536	H: 503.884
Preys: 0.000335861	Predators: 7.97828	H: 504.637
Preys: 0.000280604	Predators: 7.62732	H: 505.318
Preys: 0.000236605	Predators: 7.29179	H: 505.934
Preys: 0.000201252	Predators: 6.97101	H: 506.491
Preys: 0.000172601	Predators: 6.66433	H: 506.996
Preys: 0.000149194	Predators: 6.37114	H: 507.452
Preys: 0.000129923	Predators: 6.09084	H: 507.865
Preys: 0.000113943	Predators: 5.82287	H: 508.239
Preys: 0.0001006	Predators: 5.56669	H: 508.577
Preys: 8.93861e-05	Predators: 5.32177	H: 508.884
Preys: 7.99042e-05	Predators: 5.08763	H: 509.162
Preys: 7.18396e-05	Predators: 4.86379	H: 509.413
Preys: 6.49428e-05	Predators: 4.64979	H: 509.641
Preys: 5.90138e-05	Predators: 4.44521	H: 509.847
Preys: 5.38917e-05	Predators: 4.24963	H: 510.034
Preys: 4.94461e-05	Predators: 4.06265	H: 510.203
Preys: 4.55706e-05	Predators: 3.8839	H: 510.357
Preys: 4.2178e-05	Predators: 3.71302	H: 510.496
Preys: 3.91966e-05	Predators: 3.54965	H: 510.623
Preys: 3.65668e-05	Predators: 3.39347	H: 510.737
Preys: 3.42391e-05	Predators: 3.24416	H: 510.841
Preys: 3.21721e-05	Predators: 3.10142	H: 510.936
Preys: 3.03308e-05	Predators: 2.96496	H: 511.022
Preys: 2.8686e-05	Predators: 2.83451	H: 511.1
Preys: 2.72127e-05	Predators: 2.70979	H: 511.171
Preys: 2.58898e-05	Predators: 2.59056	H: 511.236
Preys: 2.4699e-05	Predators: 2.47658	H: 511.295
Preys: 2.3625e-05	Predators: 2.36761	H: 511.349
Preys: 2.26543e-05	Predators: 2.26344	H: 511.398
Preys: 2.17754e-05	Predators: 2.16385	H: 511.443
Preys: 2.09783e-05	Predators: 2.06864	H: 511.484
Preys: 2.02544e-05	Predators: 1.97762	H: 511.522
