Total states: 9901
Time      Preys     Predators   H         
------------------------------------------
0         9.59376   4.05441     3.46002   
0.01      9.35628   4.13723     3.46036   
0.02      9.11864   4.219       3.46069   
0.03      8.88125   4.29961     3.46103   
0.04      8.64446   4.37891     3.46137   
0.05      8.40865   4.4568      3.46171   
0.06      8.17418   4.53316     3.46206   
0.07      7.94139   4.60786     3.46241   
0.08      7.71062   4.68082     3.46276   
0.09      7.48218   4.75193     3.46312   
0.1       7.25636   4.82111     3.46348   
0.11      7.03346   4.88826     3.46384   
0.12      6.81373   4.95333     3.46421   
0.13      6.59741   5.01623     3.46459   
0.14      6.38474   5.07692     3.46497   
0.15      6.1759    5.13534     3.46535   
0.16      5.97109   5.19145     3.46575   
0.17      5.77047   5.24522     3.46614   
0.18      5.57417   5.29662     3.46654   
0.19      5.38232   5.34564     3.46695   
0.2       5.19502   5.39226     3.46736   
0.21      5.01236   5.43648     3.46778   
0.22      4.83439   5.4783      3.4682    
0.23      4.66117   5.51773     3.46863   
0.24      4.49273   5.55479     3.46906   
0.25      4.32908   5.5895      3.4695    
0.26      4.17022   5.62189     3.46994   
0.27      4.01614   5.65198     3.47039   
0.28      3.86681   5.67981     3.47084   
0.29      3.7222    5.70542     3.47129   
0.3       3.58225   5.72886     3.47175   
0.31      3.44691   5.75016     3.47221   
0.32      3.31612   5.76937     3.47268   
0.33      3.18979   5.78656     3.47314   
0.34      3.06785   5.80176     3.47361   
0.35      2.95021   5.81504     3.47409   
0.36      2.83677   5.82645     3.47456   
0.37      2.72744   5.83604     3.47504   
0.38      2.62213   5.84388     3.47552   
0.39      2.52072   5.85001     3.476     
0.4       2.42311   5.8545      3.47648   
0.41      2.32919   5.85741     3.47696   
0.42      2.23887   5.85879     3.47744   
0.43      2.15202   5.8587      3.47792   
0.44      2.06854   5.8572      3.4784    
0.45      1.98833   5.85434     3.47888   
0.46      1.91127   5.85017     3.47936   
0.47      1.83726   5.84475     3.47984   
0.48      1.76619   5.83814     3.48032   
0.49      1.69796   5.83038     3.4808    
0.5       1.63247   5.82153     3.48128   
0.51      1.56962   5.81163     3.48176   
0.52      1.50931   5.80073     3.48223   
0.53      1.45144   5.78888     3.4827    
0.54      1.39593   5.77612     3.48317   
0.55      1.34268   5.7625      3.48364   
0.56      1.2916    5.74806     3.4841    
0.57      1.24261   5.73284     3.48457   
0.58      1.19563   5.71688     3.48503   
0.59      1.15057   5.70021     3.48548   
0.6       1.10736   5.68288     3.48594   
0.61      1.06592   5.66493     3.48639   
0.62      1.02618   5.64637     3.48684   
0.63      0.988066  5.62726     3.48728   
0.64      0.951518  5.60761     3.48772   
0.65      0.916467  5.58746     3.48816   
0.66      0.882851  5.56684     3.4886    
0.67      0.85061   5.54577     3.48903   
0.68      0.819685  5.52429     3.48946   
0.69      0.790022  5.50242     3.48988   
0.7       0.761567  5.48018     3.4903    
0.71      0.734268  5.45759     3.49072   
0.72      0.708077  5.43469     3.49113   
0.73      0.682946  5.41148     3.49154   
0.74      0.658831  5.388       3.49194   
0.75      0.635687  5.36425     3.49234   
0.76      0.613474  5.34027     3.49274   
0.77      0.592151  5.31607     3.49313   
0.78      0.571681  5.29165     3.49352   
0.79      0.552027  5.26705     3.49391   
0.8       0.533155  5.24228     3.49429   
0.81      0.515031  5.21735     3.49466   
0.82      0.497622  5.19227     3.49504   
0.83      0.480899  5.16707     3.4954    
0.84      0.464832  5.14174     3.49577   
0.85      0.449394  5.11631     3.49613   
0.86      0.434557  5.09079     3.49648   
0.87      0.420297  5.06518     3.49684   
0.88      0.406588  5.0395      3.49718   
0.89      0.393408  5.01376     3.49753   
0.9       0.380733  4.98797     3.49787   
0.91      0.368543  4.96214     3.4982    
0.92      0.356818  4.93627     3.49854   
0.93      0.345538  4.91037     3.49886   
0.94      0.334683  4.88446     3.49919   
0.95      0.324237  4.85853     3.49951   
0.96      0.314183  4.8326      3.49982   
0.97      0.304504  4.80668     3.50014   
0.98      0.295184  4.78076     3.50044   
0.99      0.286209  4.75487     3.50075   
1         0.277565  4.72899     3.50105   
1.01      0.269237  4.70314     3.50135   
1.02      0.261214  4.67732     3.50164   
1.03      0.253482  4.65154     3.50193   
1.04      0.24603   4.6258      3.50221   
1.05      0.238846  4.60011     3.50249   
1.06      0.23192   4.57447     3.50277   
1.07      0.22524   4.54889     3.50305   
1.08      0.218798  4.52336     3.50332   
1.09      0.212584  4.4979      3.50358   
1.1       0.206588  4.4725      3.50385   
1.11      0.200802  4.44717     3.50411   
1.12      0.195218  4.42191     3.50437   
1.13      0.189828  4.39672     3.50462   
1.14      0.184623  4.37162     3.50487   
1.15      0.179597  4.34659     3.50512   
1.16      0.174743  4.32165     3.50536   
1.17      0.170055  4.29679     3.5056    
1.18      0.165524  4.27202     3.50584   
1.19      0.161147  4.24734     3.50607   
1.2       0.156916  4.22275     3.5063    
1.21      0.152826  4.19825     3.50653   
1.22      0.148872  4.17384     3.50675   
1.23      0.145048  4.14954     3.50697   
1.24      0.141351  4.12533     3.50719   
1.25      0.137774  4.10121     3.5074    
1.26      0.134313  4.0772      3.50762   
1.27      0.130964  4.05329     3.50782   
1.28      0.127724  4.02948     3.50803   
1.29      0.124587  4.00578     3.50823   
1.3       0.12155   3.98218     3.50843   
1.31      0.118609  3.95869     3.50863   
1.32      0.115762  3.9353      3.50883   
1.33      0.113003  3.91202     3.50902   
1.34      0.110331  3.88884     3.50921   
1.35      0.107742  3.86578     3.50939   
1.36      0.105233  3.84282     3.50958   
1.37      0.102801  3.81998     3.50976   
1.38      0.100444  3.79724     3.50994   
1.39      0.0981587 3.77461     3.51011   
1.4       0.0959425 3.7521      3.51029   
1.41      0.0937932 3.72969     3.51046   
1.42      0.0917083 3.7074      3.51063   
1.43      0.0896857 3.68522     3.51079   
1.44      0.0877232 3.66315     3.51096   
1.45      0.0858187 3.6412      3.51112   
1.46      0.0839702 3.61935     3.51128   
1.47      0.0821758 3.59762     3.51143   
1.48      0.0804336 3.576       3.51159   
1.49      0.0787419 3.5545      3.51174   
1.5       0.077099  3.5331      3.51189   
1.51      0.0755031 3.51182     3.51204   
1.52      0.0739528 3.49065     3.51218   
1.53      0.0724465 3.4696      3.51233   
1.54      0.0709827 3.44865     3.51247   
1.55      0.0695601 3.42782     3.51261   
1.56      0.0681773 3.4071      3.51274   
1.57      0.0668329 3.38649     3.51288   
1.58      0.0655258 3.366       3.51301   
1.59      0.0642547 3.34562     3.51315   
1.6       0.0630184 3.32535     3.51327   
1.61      0.0618159 3.30519     3.5134    
1.62      0.0606459 3.28514     3.51353   
1.63      0.0595076 3.2652      3.51365   
1.64      0.0583999 3.24537     3.51377   
1.65      0.0573218 3.22565     3.51389   
1.66      0.0562725 3.20605     3.51401   
1.67      0.0552509 3.18655     3.51413   
1.68      0.0542562 3.16716     3.51424   
1.69      0.0532876 3.14789     3.51436   
1.7       0.0523443 3.12872     3.51447   
1.71      0.0514255 3.10966     3.51458   
1.72      0.0505305 3.0907      3.51469   
1.73      0.0496585 3.07186     3.51479   
1.74      0.0488088 3.05312     3.5149    
1.75      0.0479807 3.03449     3.515     
1.76      0.0471737 3.01597     3.5151    
1.77      0.0463871 2.99755     3.5152    
1.78      0.0456202 2.97924     3.5153    
1.79      0.0448724 2.96103     3.5154    
1.8       0.0441433 2.94293     3.5155    
1.81      0.0434323 2.92494     3.51559   
1.82      0.0427388 2.90704     3.51568   
1.83      0.0420623 2.88926     3.51578   
1.84      0.0414023 2.87157     3.51587   
1.85      0.0407584 2.85399     3.51596   
1.86      0.0401301 2.83651     3.51604   
1.87      0.0395169 2.81913     3.51613   
1.88      0.0389185 2.80186     3.51621   
1.89      0.0383343 2.78469     3.5163    
1.9       0.037764  2.76761     3.51638   
1.91      0.0372072 2.75064     3.51646   
1.92      0.0366636 2.73377     3.51654   
1.93      0.0361326 2.71699     3.51662   
1.94      0.0356141 2.70032     3.5167    
1.95      0.0351077 2.68374     3.51677   
1.96      0.034613  2.66726     3.51685   
1.97      0.0341297 2.65088     3.51692   
1.98      0.0336575 2.6346      3.517     
1.99      0.0331961 2.61841     3.51707   
2         0.0327452 2.60232     3.51714   
2.01      0.0323045 2.58632     3.51721   
