Total states: 66001
Time      Preys     Predators   H         
------------------------------------------
0         10        5           -2.41202  
0.001     10.005    5           -2.41202  
0.002     10.01     5           -2.41202  
0.003     10.015    5.00001     -2.41202  
0.004     10.02     5.00002     -2.41202  
0.005     10.025    5.00003     -2.41202  
0.006     10.03     5.00004     -2.41202  
0.007     10.0351   5.00005     -2.41202  
0.008     10.0401   5.00007     -2.41202  
0.009     10.0451   5.00009     -2.41202  
0.01      10.0501   5.00011     -2.41202  
0.011     10.0551   5.00014     -2.41202  
0.012     10.0602   5.00017     -2.41202  
0.013     10.0652   5.0002      -2.41202  
0.014     10.0702   5.00023     -2.41202  
0.015     10.0753   5.00026     -2.41202  
0.016     10.0803   5.0003      -2.41202  
0.017     10.0853   5.00034     -2.41202  
0.018     10.0904   5.00038     -2.41202  
0.019     10.0954   5.00043     -2.41202  
0.02      10.1005   5.00048     -2.41202  
0.021     10.1055   5.00053     -2.41202  
0.022     10.1106   5.00058     -2.41202  
0.023     10.1156   5.00063     -2.41202  
0.024     10.1207   5.00069     -2.41202  
0.025     10.1257   5.00075     -2.41202  
0.026     10.1308   5.00082     -2.41202  
0.027     10.1359   5.00088     -2.41202  
0.028     10.1409   5.00095     -2.41202  
0.029     10.146    5.00102     -2.41202  
0.03      10.1511   5.00109     -2.41202  
0.031     10.1562   5.00117     -2.41202  
0.032     10.1612   5.00125     -2.41202  
0.033     10.1663   5.00133     -2.41202  
0.034     10.1714   5.00141     -2.41202  
0.035     10.1765   5.0015      -2.41202  
0.036     10.1816   5.00158     -2.41202  
0.037     10.1867   5.00167     -2.41202  
0.038     10.1917   5.00177     -2.41202  
0.039     10.1968   5.00186     -2.41202  
0.04      10.2019   5.00196     -2.41202  
0.041     10.207    5.00206     -2.41202  
0.042     10.2121   5.00217     -2.41202  
0.043     10.2172   5.00227     -2.41202  
0.044     10.2223   5.00238     -2.41202  
0.045     10.2275   5.00249     -2.41202  
0.046     10.2326   5.00261     -2.41202  
0.047     10.2377   5.00272     -2.41202  
0.048     10.2428   5.00284     -2.41202  
0.049     10.2479   5.00296     -2.41202  
0.05      10.253    5.00309     -2.41202  
0.051     10.2582   5.00321     -2.41202  
0.052     10.2633   5.00334     -2.41202  
0.053     10.2684   5.00348     -2.41202  
0.054     10.2735   5.00361     -2.41202  
0.055     10.2787   5.00375     -2.41202  
0.056     10.2838   5.00389     -2.41202  
0.057     10.289    5.00403     -2.41202  
0.058     10.2941   5.00417     -2.41202  
0.059     10.2992   5.00432     -2.41202  
0.06      10.3044   5.00447     -2.41202  
0.061     10.3095   5.00462     -2.41202  
0.062     10.3147   5.00478     -2.41202  
0.063     10.3198   5.00493     -2.41202  
0.064     10.325    5.00509     -2.41202  
0.065     10.3301   5.00526     -2.41201  
0.066     10.3353   5.00542     -2.41201  
0.067     10.3405   5.00559     -2.41201  
0.068     10.3456   5.00576     -2.41201  
0.069     10.3508   5.00593     -2.41201  
0.07      10.356    5.00611     -2.41201  
0.071     10.3611   5.00629     -2.41201  
0.072     10.3663   5.00647     -2.41201  
0.073     10.3715   5.00665     -2.41201  
0.074     10.3767   5.00684     -2.41201  
0.075     10.3818   5.00703     -2.41201  
0.076     10.387    5.00722     -2.41201  
0.077     10.3922   5.00741     -2.41201  
0.078     10.3974   5.00761     -2.41201  
0.079     10.4026   5.00781     -2.41201  
0.08      10.4078   5.00801     -2.41201  
0.081     10.413    5.00821     -2.41201  
0.082     10.4182   5.00842     -2.41201  
0.083     10.4234   5.00863     -2.41201  
0.084     10.4286   5.00884     -2.41201  
0.085     10.4338   5.00906     -2.41201  
0.086     10.439    5.00927     -2.41201  
0.087     10.4442   5.00949     -2.41201  
0.088     10.4494   5.00971     -2.41201  
0.089     10.4546   5.00994     -2.41201  
0.09      10.4599   5.01017     -2.41201  
0.091     10.4651   5.0104      -2.41201  
0.092     10.4703   5.01063     -2.41201  
0.093     10.4755   5.01087     -2.41201  
0.094     10.4807   5.01111     -2.41201  
0.095     10.486    5.01135     -2.41201  
0.096     10.4912   5.01159     -2.41201  
0.097     10.4964   5.01184     -2.41201  
0.098     10.5017   5.01208     -2.41201  
0.099     10.5069   5.01234     -2.41201  
0.1       10.5121   5.01259     -2.41201  
0.101     10.5174   5.01285     -2.41201  
0.102     10.5226   5.01311     -2.41201  
0.103     10.5279   5.01337     -2.41201  
0.104     10.5331   5.01363     -2.41201  
0.105     10.5384   5.0139      -2.41201  
0.106     10.5436   5.01417     -2.41201  
0.107     10.5489   5.01444     -2.41201  
